week_index,day_index,Shift,Hour,Avg_PassengersHour_3yr,Avg_BoothsHour_3yr
3,4,00-08,5,485.6666667,7
3,4,00-08,6,261.6666667,7
3,4,00-08,7,665.6666667,13.66666667
3,4,08-16,8,522,10
3,4,08-16,9,212.6666667,8
3,4,08-16,10,379.6666667,9.333333333
3,4,08-16,11,63,5
3,4,08-16,12,411.6666667,10.33333333
3,4,08-16,13,347.3333333,11.66666667
3,4,08-16,14,1177.666667,14.66666667
3,4,08-16,15,1740.666667,20.33333333
3,4,16-00,16,760,19.66666667
3,4,16-00,17,485,12
3,4,16-00,18,302,9.666666667
3,4,16-00,19,1242,11.66666667
3,4,16-00,20,484,10
3,4,16-00,21,191.5,5
3,4,16-00,22,254.3333333,6.333333333
3,4,16-00,23,226.6666667,5
3,5,00-08,0,135,4
3,5,00-08,1,253.6666667,5.333333333
3,5,00-08,2,145,5
3,5,00-08,3,159,4.5
3,5,00-08,4,226,6
3,5,00-08,5,369,7.333333333
3,5,00-08,6,363,8.333333333
3,5,00-08,7,765.5,14
3,5,08-16,8,697.5,12
3,5,08-16,9,131,8
3,5,08-16,10,592.6666667,10
3,5,08-16,11,153,8.5
3,5,08-16,12,228,14
3,5,08-16,13,384.6666667,10.33333333
3,5,08-16,14,1178,14.66666667
3,5,08-16,15,1793,19.33333333
3,5,16-00,16,532.3333333,16.33333333
3,5,16-00,17,321,14.5
3,5,16-00,18,430.6666667,11.33333333
3,5,16-00,19,935.3333333,13.66666667
3,5,16-00,20,934.3333333,11
3,5,16-00,21,174,5
3,5,16-00,22,317.5,4.5
3,5,16-00,23,263.6666667,5.333333333
3,6,00-08,0,140.5,4
3,6,00-08,1,215.3333333,4.333333333
3,6,00-08,2,230.5,3.5
3,6,00-08,3,315,6
3,6,00-08,4,532,8
3,6,00-08,5,730.6666667,8.666666667
3,6,00-08,6,251.6666667,8
3,6,00-08,7,307,10
3,6,08-16,8,692.6666667,14
3,6,08-16,9,465.5,9
3,6,08-16,10,348,7
3,6,08-16,11,291.3333333,6.333333333
3,6,08-16,12,504,7
3,6,08-16,13,386.3333333,9.666666667
3,6,08-16,14,1360.333333,15.33333333
3,6,08-16,15,1846,19
3,6,16-00,16,676.6666667,19.66666667
3,6,16-00,17,395,17
3,6,16-00,18,392.3333333,12.66666667
3,6,16-00,19,1005.333333,13
3,6,16-00,20,913.6666667,11.33333333
3,6,16-00,21,445,11
3,6,16-00,22,456.3333333,5.333333333
3,6,16-00,23,311,6.5
3,7,00-08,0,216,4
3,7,00-08,1,265.3333333,4.666666667
3,7,00-08,2,217,5.333333333
3,7,00-08,3,151,4.5
3,7,00-08,4,166,6
3,7,00-08,5,558.6666667,6.666666667
3,7,00-08,6,396.6666667,7.666666667
3,7,00-08,7,408.5,12.5
3,7,08-16,8,690.3333333,13.66666667
3,7,08-16,9,843.5,11
3,7,08-16,10,232.6666667,9
3,7,08-16,11,169,6.5
3,7,08-16,12,276,8.5
3,7,08-16,13,405,10.33333333
3,7,08-16,14,1219,12.66666667
3,7,08-16,15,1905.666667,20
3,7,16-00,16,583.6666667,18.66666667
3,7,16-00,17,653,19
3,7,16-00,18,435.6666667,14
3,7,16-00,19,1046.666667,13.33333333
3,7,16-00,20,883.6666667,13.66666667
3,7,16-00,21,284.3333333,10
3,7,16-00,22,484.6666667,7.333333333
3,7,16-00,23,313,5.5
4,1,00-08,0,139,5
4,1,00-08,1,236.5,6
4,1,00-08,2,315,5
4,1,00-08,3,230,5.5
4,1,00-08,4,154,7
4,1,00-08,5,366,6.333333333
4,1,00-08,6,439,8.666666667
4,1,00-08,7,650.5,11.5
4,1,08-16,8,584,17.5
4,1,08-16,9,262.6666667,10
4,1,08-16,10,406.3333333,10
4,1,08-16,11,406.3333333,10
4,1,08-16,12,417.3333333,11.66666667
4,1,08-16,13,507.3333333,13.33333333
4,1,08-16,14,1304.333333,15.66666667
4,1,08-16,15,1600,17.66666667
4,1,16-00,16,1055,18
4,1,16-00,17,221,9.5
4,1,16-00,18,477,9.666666667
4,1,16-00,19,1247.333333,12.66666667
4,1,16-00,20,800.3333333,10.33333333
4,1,16-00,21,342.3333333,8.666666667
4,1,16-00,22,311.6666667,6.666666667
4,1,16-00,23,240,7.333333333
4,2,00-08,0,156,6
4,2,00-08,1,215.6666667,6.333333333
4,2,00-08,2,233,6
4,2,00-08,3,340,6
4,2,00-08,4,340,6
4,2,00-08,5,327.6666667,7.666666667
4,2,00-08,6,555,7.666666667
4,2,00-08,7,364,17
4,2,08-16,8,776.3333333,18.66666667
4,2,08-16,9,207.3333333,11.66666667
4,2,08-16,10,392.6666667,11
4,2,08-16,11,117,11.5
4,2,08-16,12,151,9
4,2,08-16,13,383.6666667,9.666666667
4,2,08-16,14,1602.333333,18
4,2,08-16,15,1263.666667,17.66666667
4,2,16-00,16,1218.666667,21
4,2,16-00,17,174.5,18
4,2,16-00,18,259.3333333,10.33333333
4,2,16-00,19,987.3333333,11.66666667
4,2,16-00,20,876.6666667,10.66666667
4,2,16-00,21,193.5,8.5
4,2,16-00,22,330.6666667,8
4,2,16-00,23,151.3333333,6
4,3,00-08,0,155,6
4,3,00-08,1,265.6666667,5.666666667
